60 : 0.9999999999959487, 40 : 0.3455347714718529, 20 : 1.0, Accel60 : 0.05684560082147872, Accel40 : 0.14731598766885204, Accel20 : 0.7958384115096693, Lidar60 : 0.7958384115073287, Lidar40 : 0.1473159876700787, Lidar20 : 0.05684560082259259, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2784.1293130113045, currentmeanoutputAccel : 174.53898978667112, currentmeanoutputLidar : 2678.442090939211, meanAccel100 : 218.92399897646104, meanLidar100 : 2755.2244747599375
60 : 0.9999999999988679, 40 : 0.3455347712786254, 20 : 1.0, Accel60 : 0.056845600826575256, Accel40 : 0.1473159875988657, Accel20 : 0.7958384115745591, Lidar60 : 0.795838411573905, Lidar40 : 0.14731598759920841, Lidar20 : 0.056845600826886486, currentmodeloutputAccel : 348.2956662432988, currentmodeloutputLidar : 2772.18516497355, currentmeanoutputAccel : 174.552888097058, currentmeanoutputLidar : 2678.4495891854144, meanAccel100 : 221.14622243078986, meanLidar100 : 2755.2244747599375
60 : 0.9999999999996837, 40 : 0.34553477121220705, 20 : 1.0, Accel60 : 0.056845600828300494, Accel40 : 0.14731598757479253, Accel20 : 0.7958384115969069, Lidar60 : 0.7958384115967242, Lidar40 : 0.14731598757488829, Lidar20 : 0.05684560082838745, currentmodeloutputAccel : 235.6624226677276, currentmodeloutputLidar : 2772.18516497355, currentmeanoutputAccel : 174.55777568680213, currentmeanoutputLidar : 2678.4570862321866, meanAccel100 : 216.640892687767, meanLidar100 : 2755.2244747599375
60 : 0.9999999999999117, 40 : 0.34553477118938497, 20 : 1.0, Accel60 : 0.0568456008288859, Accel40 : 0.1473159875665161, Accel20 : 0.795838411604598, Lidar60 : 0.795838411604547, Lidar40 : 0.14731598756654285, Lidar20 : 0.056845600828910194, currentmodeloutputAccel : 351.3398079615575, currentmodeloutputLidar : 2772.18516497355, currentmeanoutputAccel : 174.5719137252118, currentmeanoutputLidar : 2678.4645820798146, meanAccel100 : 220.14221067776506, meanLidar100 : 2755.2244747599375
60 : 0.9999999999999756, 40 : 0.34553477118154535, 20 : 1.0, Accel60 : 0.056845600829084915, Accel40 : 0.14731598756367176, Accel20 : 0.7958384116072432, Lidar60 : 0.795838411607229, Lidar40 : 0.1473159875636792, Lidar20 : 0.05684560082909168, currentmodeloutputAccel : 1081.9338203436405, currentmodeloutputLidar : 2778.157238992427, currentmeanoutputAccel : 174.64447365376986, currentmeanoutputLidar : 2678.4725543034783, meanAccel100 : 228.30051048269831, meanLidar100 : 2755.2244747599375
60 : 0.9999999999999932, 40 : 0.34553477117885295, 20 : 1.0, Accel60 : 0.05684560082915271, Accel40 : 0.14731598756269457, Accel20 : 0.7958384116081527, Lidar60 : 0.7958384116081488, Lidar40 : 0.14731598756269662, Lidar20 : 0.05684560082915456, currentmodeloutputAccel : 491.37032700145664, currentmodeloutputLidar : 2778.157238992427, currentmeanoutputAccel : 174.6697995656, currentmeanoutputLidar : 2678.480525252198, meanAccel100 : 226.0782870283695, meanLidar100 : 2755.2244747599375
60 : 0.9999999999999982, 40 : 0.34553477117792847, 20 : 1.0, Accel60 : 0.0568456008291758, Accel40 : 0.14731598756235892, Accel20 : 0.7958384116084652, Lidar60 : 0.7958384116084642, Lidar40 : 0.14731598756235947, Lidar20 : 0.056845600829176314, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2772.18516497355, currentmeanoutputAccel : 174.65593038909054, currentmeanoutputLidar : 2678.4880174277573, meanAccel100 : 226.0782870283695, meanLidar100 : 2755.2244747599375
60 : 0.9999999999999994, 40 : 0.3455347711776111, 20 : 1.0, Accel60 : 0.05684560082918369, Accel40 : 0.14731598756224365, Accel20 : 0.7958384116085726, Lidar60 : 0.7958384116085723, Lidar40 : 0.1473159875622438, Lidar20 : 0.056845600829183815, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2784.1293130113045, currentmeanoutputAccel : 174.64206343023002, currentmeanoutputLidar : 2678.4964633260292, meanAccel100 : 220.1416556637645, meanLidar100 : 2755.343916240315
60 : 1.0, 40 : 0.34553477117750214, 20 : 1.0, Accel60 : 0.05684560082918637, Accel40 : 0.14731598756220407, Accel20 : 0.7958384116086095, Lidar60 : 0.7958384116086096, Lidar40 : 0.14731598756220415, Lidar20 : 0.056845600829186424, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2772.18516497355, currentmeanoutputAccel : 174.6281986884866, currentmeanoutputLidar : 2678.5039530295744, meanAccel100 : 218.01020144698285, meanLidar100 : 2755.343916240315
60 : 1.0, 40 : 0.3455347711774648, 20 : 1.0, Accel60 : 0.05684560082918731, Accel40 : 0.14731598756219053, Accel20 : 0.7958384116086222, Lidar60 : 0.7958384116086222, Lidar40 : 0.14731598756219053, Lidar20 : 0.05684560082918731, currentmodeloutputAccel : 448.75234294583515, currentmodeloutputLidar : 2778.157238992427, currentmeanoutputAccel : 174.6501110901059, currentmeanoutputLidar : 2678.5119189197394, meanAccel100 : 222.48564478682368, meanLidar100 : 2755.343916240315
60 : 1.0, 40 : 0.3455347711774519, 20 : 1.0, Accel60 : 0.056845600829187624, Accel40 : 0.14731598756218584, Accel20 : 0.7958384116086265, Lidar60 : 0.7958384116086265, Lidar40 : 0.14731598756218584, Lidar20 : 0.056845600829187624, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2778.157238992427, currentmeanoutputAccel : 174.63624792152396, currentmeanoutputLidar : 2678.5198835364827, meanAccel100 : 215.81841940983662, meanLidar100 : 2755.343916240315
