60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 552.2531613666304, currentmodeloutputLidar : 2664.687832633754, currentmeanoutputAccel : 170.54135028711806, currentmeanoutputLidar : 2600.6569021327573, meanAccel100 : 204.23022971528118, meanLidar100 : 2670.6599066526314
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2772.18516497355, currentmeanoutputAccel : 170.5373661606928, currentmeanoutputLidar : 2600.660937901964, meanAccel100 : 200.27229046754434, meanLidar100 : 2671.6751592358405
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2831.905905162326, currentmeanoutputAccel : 170.53338222174264, currentmeanoutputLidar : 2600.6663785759697, meanAccel100 : 198.35392617104083, meanLidar100 : 2673.287619220938
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 25.61664410787883, currentmodeloutputLidar : 2736.352720860285, currentmeanoutputAccel : 170.52997273703264, currentmeanoutputLidar : 2600.669570895335, meanAccel100 : 198.59801252250207, meanLidar100 : 2673.944547363014
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 290.4569735963839, currentmodeloutputLidar : 2742.3247948791623, currentmeanoutputAccel : 170.53279421687878, currentmeanoutputLidar : 2600.6729035673493, meanAccel100 : 201.49050216884837, meanLidar100 : 2674.840358465846
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 333.0749576520055, currentmodeloutputLidar : 2748.29686889804, currentmeanoutputAccel : 170.53661819851513, currentmeanoutputLidar : 2600.676376582108, meanAccel100 : 202.98213161079514, meanLidar100 : 2675.855611049055
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 348.2956662432988, currentmodeloutputLidar : 2748.29686889804, currentmeanoutputAccel : 170.54080007557172, currentmeanoutputLidar : 2600.679849433458, meanAccel100 : 206.4530081836106, meanLidar100 : 2676.8111428920756
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2742.3247948791623, currentmeanoutputAccel : 170.53681652444925, currentmeanoutputLidar : 2600.6831816284666, meanAccel100 : 206.4530081836106, meanLidar100 : 2677.3486295537746
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 753.1665147717031, currentmodeloutputLidar : 2718.436498803652, currentmeanoutputAccel : 170.5505225560719, currentmeanoutputLidar : 2600.685951708148, meanAccel100 : 212.93703004350158, meanLidar100 : 2677.766674735096
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2736.352720860285, currentmeanoutputAccel : 170.54653896365613, currentmeanoutputLidar : 2600.6891431165027, meanAccel100 : 212.93703004350158, meanLidar100 : 2678.4833236173613
60 : 1.0, 40 : 0.3455347711774452, 20 : 0.9999999999999999, Accel60 : 0.05684560082918779, Accel40 : 0.14731598756218342, Accel20 : 0.7958384116086288, Lidar60 : 0.7958384116086289, Lidar40 : 0.1473159875621834, Lidar20 : 0.05684560082918777, currentmodeloutputAccel : 220.4417140764343, currentmodeloutputLidar : 2754.2689429169172, currentmeanoutputAccel : 170.54771266399518, currentmeanoutputLidar : 2600.692755823797, meanAccel100 : 211.90202185929363, meanLidar100 : 2679.319413980004
